orang;B1;B2;B3;B4;B5;B6;B7;B8
1;1;1;1;1;2;3;1;2
2;1;1;1;1;1;2;1;1
3;3;3;3;3;4;4;2;2
4;2;2;2;2;3;3;1;2
5;1;1;1;1;3;4;1;2
6;2;4;2;2;3;3;2;2
7;3;4;2;2;3;3;2;3
8;2;2;1;2;2;2;2;1
9;1;3;2;1;3;4;3;1
10;4;4;3;4;4;4;3;3
11;1;3;2;2;2;3;2;1
12;2;3;3;3;3;3;3;3
13;1;1;1;1;2;3;1;2
14;1;3;1;1;3;3;2;3
15;2;2;1;1;3;4;1;2
16;4;3;3;3;4;4;4;3
17;3;4;3;3;4;4;4;3
18;2;2;2;3;3;3;2;2
19;1;2;2;1;1;3;1;1
20;1;2;2;2;3;3;2;2
21;3;4;3;3;3;4;2;2
22;1;1;1;1;1;2;1;1
23;3;5;4;3;3;4;2;3
24;2;3;2;2;3;3;2;2
25;1;3;2;2;3;4;1;2
26;2;2;1;1;2;3;1;1
27;2;3;3;3;2;2;2;2
