Negara Tujuan;2007;2008;2009;2010;2011;2012;2013;2014;2015
Jepang;35198,5;36259,8;32217,7;35266,7;35364;35518,3;37711,5;35584,6;32509
Hongkong;11235,5;10497,1;10714,2;9706,2;11868,2;11984,8;12964,3;12581,6;9833,2
Korea Selatan;27371,5;26286,8;33418,4;43275,6;39598,2;37899,1;36273,3;35631,5;34015,7
Taiwan;24863,1;24669,4;24723,4;25002,2;27131,8;29105,2;28323,3;27271,8;24393,4
Tiongkok1);14122,3;15673,7;39330,8;74805;104143,4;115702,1;130393,4;99280,3;72740,8
Thailand;11963,2;12822,8;11229,7;13081,8;13293,9;14676;14365;16241,5;17865,1
Pilipina;6023,5;6338;7518,1;11110,9;10989,7;11636,2;14508,8;15021,3;15823,2
Malaysia;9376,5;11104,3;12483,3;15535,7;17337,5;16138;17128,9;14494;16567,5
India;25179,1;26327,5;39108,9;51254,3;74723,2;96076;118288,5;136352,1;124481,5
Amerika Serikat;4557,7;3993,8;2081,6;1936,5;805,4;215,6;1177,4;1311,8;731,7
Belanda;1266,9;3740,7;3384,8;2719,1;2848,4;154,3;172,2;0;82,5
Italia;6193,8;5592,8;5797;6306,3;5080,8;4082,8;3016,6;3516,3;3106
Spanyol;4308,6;4387,4;4808,4;1564,3;3559,3;5704,8;4078;4071,5;4826,5
Lainnya;14125,7;13327,6;7976,8;7279,8;6654,3;5414;5924;6880,1;9994,3
